dataset,video,video_id,qp,granularity,trajectory_id,selection_label,frames,mode_map_decode,predictor_equality,correction_CDF_equality,correction_symbols_decode,w1_hash_equal,decoded_latent_equal,DPB_hash_equal,RGB_hash_equal,RGB_max_abs_diff,bytes_consumed_equal,decode_status,bitstream_path,bitstream_sha256
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp1_G8_T3202.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,fresh_ulong_00_qp1_G16_T3007,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp1_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp1_G16_T3007.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,fresh_ulong_00_qp3_G8_T3180,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp3_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_00_qp3_G8_T3180.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,fresh_ulong_00_qp3_G16_T3393,BEST_RATE_WITH_NONWORSE_SSE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_00_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_00_qp3_G16_T3393.bin,673d5a79b624699865f7a7c68463062f0672f98a78acb000b5e06797b7f92e6a
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,fresh_ulong_01_qp1_G8_T3204,BEST_RATE_WITH_NONWORSE_SSE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G8_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp1_G8_T3204.bin,2dae0d3f632c85680fe5343bf518dfd239ba255250decc69c7364fd5135fad38
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,fresh_ulong_01_qp1_G8_T3201,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp1_G8_T3201.bin,275575e20310c22fd467720030a3cfd5d8dc02bd5c5a80585080fd7003621b61
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,fresh_ulong_01_qp1_G16_T3068,BEST_RATE_WITH_NONWORSE_SSE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp1_G16_T3068.bin,5dd844edb982eaae858c0b357eb1c1f20bc3a70d91dd662de4f6378e8a110976
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,fresh_ulong_01_qp1_G16_T3083,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp1_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp1_G16_T3083.bin,341fb6cc62e32f555e5ae0e88997101f88586f24bfdf8e6a21688f8ef41c0c8c
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,fresh_ulong_01_qp3_G8_T3519,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp3_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp3_G8_T3519.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,fresh_ulong_01_qp3_G16_T3591,BEST_RATE_WITH_NONWORSE_SSE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp3_G16_T3591.bin,883321452dbd89c84e71c47f4b33a45a9c263ba3aff7b8d7583af568118b6855
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,fresh_ulong_01_qp3_G16_T3564,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp3_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp3_G16_T3564.bin,69bb23f04539b3646f781a536791e7609798d7cce0581217e6a8d0162ad69590
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,fresh_ulong_10_qp1_G8_T3460,BEST_SSE_UNDER_BASELINE_RATE,64,True,True,True,True,True,True,True,True,0.0,True,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_10_qp1_G8_T3460.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1
