branch,frame,channel,num_symbols,encoder_decoder_predictor_equal,exact_match_rate,MAE,RMSE
FULL,1,0,8160,True,1.0,0.0,0.0
FULL,1,1,8160,True,1.0,0.0,0.0
FULL,1,2,8160,True,1.0,0.0,0.0
FULL,1,3,8160,True,0.9335784912109375,0.06642157584428787,0.2577238380908966
FULL,1,4,8160,True,1.0,0.0,0.0
FULL,1,5,8160,True,1.0,0.0,0.0
FULL,1,6,8160,True,1.0,0.0,0.0
FULL,1,7,8160,True,1.0,0.0,0.0
FULL,1,8,8160,True,1.0,0.0,0.0
FULL,1,9,8160,True,1.0,0.0,0.0
FULL,1,10,8160,True,1.0,0.0,0.0
FULL,1,11,8160,True,1.0,0.0,0.0
FULL,1,12,8160,True,1.0,0.0,0.0
FULL,1,13,8160,True,1.0,0.0,0.0
FULL,1,14,8160,True,1.0,0.0,0.0
FULL,1,15,8160,True,1.0,0.0,0.0
FULL,1,16,8160,True,1.0,0.0,0.0
FULL,1,17,8160,True,1.0,0.0,0.0
FULL,1,18,8160,True,0.939460813999176,0.06053921952843666,0.24604718387126923
FULL,1,19,8160,True,1.0,0.0,0.0
FULL,1,20,8160,True,1.0,0.0,0.0
FULL,1,21,8160,True,0.9659314155578613,0.03406862914562225,0.18457689881324768
FULL,1,22,8160,True,1.0,0.0,0.0
FULL,1,23,8160,True,1.0,0.0,0.0
FULL,1,24,8160,True,1.0,0.0,0.0
FULL,1,25,8160,True,1.0,0.0,0.0
FULL,1,26,8160,True,1.0,0.0,0.0
FULL,1,27,8160,True,1.0,0.0,0.0
FULL,1,28,8160,True,1.0,0.0,0.0
FULL,1,29,8160,True,1.0,0.0,0.0
FULL,1,30,8160,True,1.0,0.0,0.0
FULL,1,31,8160,True,1.0,0.0,0.0
FULL,1,32,8160,True,1.0,0.0,0.0
FULL,1,33,8160,True,1.0,0.0,0.0
FULL,1,34,8160,True,1.0,0.0,0.0
FULL,1,35,8160,True,1.0,0.0,0.0
FULL,1,36,8160,True,1.0,0.0,0.0
FULL,1,37,8160,True,1.0,0.0,0.0
FULL,1,38,8160,True,1.0,0.0,0.0
FULL,1,39,8160,True,1.0,0.0,0.0
FULL,1,40,8160,True,1.0,0.0,0.0
FULL,1,41,8160,True,1.0,0.0,0.0
FULL,1,42,8160,True,1.0,0.0,0.0
FULL,1,43,8160,True,1.0,0.0,0.0
FULL,1,44,8160,True,0.9547794461250305,0.04522059112787247,0.2126513421535492
FULL,1,45,8160,True,1.0,0.0,0.0
FULL,1,46,8160,True,1.0,0.0,0.0
FULL,1,47,8160,True,1.0,0.0,0.0
FULL,1,48,8160,True,1.0,0.0,0.0
FULL,1,49,8160,True,1.0,0.0,0.0
FULL,1,50,8160,True,1.0,0.0,0.0
FULL,1,51,8160,True,1.0,0.0,0.0
FULL,1,52,8160,True,1.0,0.0,0.0
